"Package","Version","Built","LibPath"
"quarto","1.5.1","4.5.3","renv/library"
"ragg","1.4.0","4.5.1","renv/library"
"rapidjsonr","1.2.1","4.5.2","renv/library"
"rappdirs","0.3.3","4.5.1","renv/library"
"raster","3.6-32","4.5.3","renv/library"
"rcmdcheck","1.4.0","4.5.3","renv/library"
"readr","2.1.5","4.5.1","renv/library"
"readxl","1.4.5","4.5.1","renv/library"
"rematch","2.0.0","4.5.1","renv/library"
"rematch2","2.1.2","4.5.1","renv/library"
"remotes","2.5.0","4.5.1","renv/library"
"renv","1.2.2","4.5.3","renv/library"
"reprex","2.1.1","4.5.1","renv/library"
"reshape2","1.4.5","4.5.3","renv/library"
"rex","1.2.2","4.5.3","renv/library"
"rlang","1.1.6","4.5.1","renv/library"
"rmarkdown","2.29","4.5.1","renv/library"
"roxygen2","8.0.0","4.5.3","renv/library"
"rprojroot","2.1.1","4.5.3","renv/library"
"rstudioapi","0.17.1","4.5.1","renv/library"
"rutils","0.2","4.5.1","renv/library"
"rversions","3.0.0","4.5.3","renv/library"
"rvest","1.0.4","4.5.1","renv/library"
"s2","1.1.9","4.5.1","renv/library"
"sass","0.4.10","4.5.1","renv/library"
"satellite","1.0.6","4.5.3","renv/library"
"scales","1.4.0","4.5.1","renv/library"
"selectr","0.4-2","4.5.1","renv/library"
"servr","0.32","4.5.3","renv/library"
"sessioninfo","1.2.4","4.5.3","renv/library"
"sf","1.1-1","4.5.3","renv/library"
"sfheaders","0.4.5","4.5.3","renv/library"
"sftime","0.3.2","4.5.3","renv/library"
"shiny","1.13.0","4.5.3","renv/library"
"snow","0.4-4","4.5.0","renv/library"
"sourcetools","0.1.7-2","4.5.3","renv/library"
"sp","2.2-1","4.5.3","renv/library"
"spacesXYZ","1.6-0","4.5.3","renv/library"
"spacetime","1.3-3","4.5.3","renv/library"
"spatstat","3.6-0","4.5.3","renv/library"
"spatstat.data","3.1-9","4.5.3","renv/library"
"spatstat.explore","3.8-0","4.5.3","renv/library"
"spatstat.geom","3.8-1","4.5.3","renv/library"
"spatstat.linnet","3.5-0","4.5.3","renv/library"
"spatstat.model","3.7-0","4.5.3","renv/library"
"spatstat.random","3.4-5","4.5.3","renv/library"
"spatstat.sparse","3.2-0","4.5.3","renv/library"
"spatstat.univar","3.2-0","4.5.3","renv/library"
"spatstat.utils","3.2-3","4.5.3","renv/library"
"spelling","2.3.2","4.5.3","renv/library"
"stars","0.7-2","4.5.3","renv/library"
"stringdist","0.9.17","4.5.2","renv/library"
"stringi","1.8.7","4.5.0","renv/library"
"stringr","1.5.1","4.5.1","renv/library"
"svglite","2.2.2","4.5.3","renv/library"
"sys","3.4.3","4.5.1","renv/library"
"systemfonts","1.3.2","4.5.3","renv/library"
"tensor","1.5.1","4.5.2","renv/library"
"terra","1.9-27","4.5.3","renv/library"
"testthat","3.3.2","4.5.3","renv/library"
"textshaping","1.0.1","4.5.1","renv/library"
"tibble","3.3.0","4.5.1","renv/library"
"tidyr","1.3.1","4.5.1","renv/library"
"tidyselect","1.2.1","4.5.1","renv/library"
"tidyverse","2.0.0","4.5.1","renv/library"
"timechange","0.3.0","4.5.1","renv/library"
"tinytex","0.58","4.5.2","renv/library"
"tmap","4.3","4.5.3","renv/library"
"tmaptools","3.3","4.5.3","renv/library"
"tzdb","0.5.0","4.5.1","renv/library"
"units","0.8-7","4.5.1","renv/library"
"urlchecker","1.0.1","4.5.3","renv/library"
"usethis","3.2.1","4.5.3","renv/library"
"utf8","1.2.6","4.5.1","renv/library"
"uuid","1.2-1","4.5.0","renv/library"
"vcd","1.4-13","4.5.3","renv/library"
"vctrs","0.6.5","4.5.1","renv/library"
"viridisLite","0.4.2","4.5.1","renv/library"
"vroom","1.6.5","4.5.1","renv/library"
"waldo","0.6.2","4.5.3","renv/library"
"whisker","0.4.1","4.5.3","renv/library"
"whitebox","2.4.3","4.5.1","renv/library"
"withr","3.0.2","4.5.1","renv/library"
"wk","0.9.4","4.5.1","renv/library"
"xfun","0.54","4.5.2","renv/library"
"xml2","1.3.8","4.5.1","renv/library"
"xmlparsedata","1.0.5","4.5.3","renv/library"
"xopen","1.0.1","4.5.3","renv/library"
"xtable","1.8-8","4.5.3","renv/library"
"xts","0.14.1","4.5.1","renv/library"
"yaml","2.3.10","4.5.0","renv/library"
"yyjsonr","0.1.22","4.5.3","renv/library"
"zip","3.0.0","4.5.3","renv/library"
"zoo","1.8-14","4.5.1","renv/library"
